University,Total students,PG students1,UG students1,International students,UG students2,PG students2,Total faculty staff,Domestic staff,International staff
University of Victoria (UVIC),20070,14%,86%,3786,75%,25%,839,533,306
Ural Federal University - UrFU,27437,31%,69%,3236,79.80%,20.20%,4720,4388,332
Moscow State Institute of International Relations (MGIMO University),7436,27.20%,72.80%,1365,70.70%,29.30%,1575,1467,108
University of California  Santa Cruz,18427,10%,90%,1239,61%,39%,949,842,107
Nankai University,28401,44.10%,55.90%,1661,62.10%,37.90%,2408,2099,309
University of Kent,18055,16%,84%,5205,70%,30%,1495,875,620
University of Essex,13965,20%,80%,5994,70%,30%,939,479,460
American University of Sharjah,5178,4.10%,95.90%,4229,95.90%,4.10%,388,1,387
University of Kansas,24284,27%,73%,2108,48%,52%,3372,3082,290
University of Southern Denmark,18628,40%,60%,2699,39%,61%,1747,1284,463
University of Oulu,9765,44%,56%,601,6%,94%,1105,956,149
Pakistan Institute of Engineering and Applied Sciences (PIEAS),919,51.10%,48.90%,null,null,null,163,null,null
Oxford Brookes University,15274,18%,82%,3867,67%,33%,903,710,193
James Cook University,15199,20%,80%,4173,62%,38%,919,591,328
University of Connecticut,24460,24%,76%,3371,44%,56%,1577,1194,383
Sultan Qaboos University,7321,11.10%,88.90%,259,48.60%,51.40%,861,422,439
Taipei Medical University (TMU),5800,19.60%,80.40%,588,70.90%,29.10%,952,838,114
Universit?de Strasbourg,45414,43%,57%,7681,46%,54%,2405,2027,378
Universiti Teknologi Brunei,1146,5.80%,94.20%,116,90.50%,9.50%,152,85,67
Indian Institute of Technology Roorkee (IITR),7562,46%,54%,null,null,null,473,null,null
Rensselaer Polytechnic Institute,7246,14%,86%,1246,57%,43%,602,505,97
Swinburne University of Technology,13052,21%,79%,3717,48%,52%,829,466,363
Universidad de Palermo (UP),7732,8%,92%,null,null,null,1014,null,null
National Research Tomsk Polytechnic University,9529,47.40%,52.60%,2490,61.80%,38.20%,1435,1301,134
University of Macau,9352,29.40%,70.60%,3258,38.90%,61.10%,647,103,544
University of Trento,12729,45%,55%,764,31%,69%,947,808,139
University of Pisa,32258,36%,64%,1349,64%,36%,1672,1601,71
University of Troms?The Arctic University of Norway,15440,35%,65%,1161,59%,41%,2073,1569,504
Kazan (Volga region) Federal University,29130,38.30%,61.70%,4625,76.40%,23.60%,3832,3692,140
RUDN University,23113,47.30%,52.70%,3581,89.10%,10.90%,2999,2910,89
University of Colorado  Denver,15308,39%,61%,1176,69%,31%,4829,4692,137
Kobe University,16144,28.20%,71.80%,947,11.60%,88.40%,1911,1806,105
Tampere University,null,null,null,null,null,null,null,null,null
The American University in Cairo,5722,9.10%,90.90%,206,68%,32%,565,371,194
University of St.Gallen (HSG),8337,45%,55%,2728,42%,58%,426,201,225
Wake Forest University,7775,37%,63%,779,65%,35%,2131,2042,89
Huazhong University of Science and Technology,56369,45.20%,54.80%,3037,43.30%,56.70%,3626,3389,237
La Trobe University,25588,20%,80%,8532,61%,39%,1176,667,509
National University of Sciences And Technology (NUST) Islamabad,10298,28%,72%,300,99%,1%,1312,1289,23
Universidad Austral,4250,22%,78%,null,null,null,633,null,null
University of Witwatersrand,27080,13%,87%,2051,56.90%,43.10%,1580,1081,499
Washington State University,27439,15%,85%,1995,52%,48%,1997,1520,477
University of Coimbra,21381,57%,43%,4073,43%,57%,1527,1439,88
HUFS - Hankuk (Korea) University of Foreign Studies,16320,12%,88%,2546,82%,18%,2312,1936,376
Sharif University of Technology,9435,47%,53%,22,null,100%,564,560,4
The University of Tennessee  Knoxville,26185,19%,81%,950,38%,62%,1868,1806,62
Johannes Gutenberg Universität Mainz,31772,50%,50%,3521,46%,54%,3349,2852,497
National Sun Yat-sen University,8451,45%,55%,486,49%,51%,685,626,59
Chung-Ang University (CAU),20008,18%,82%,2621,68.80%,31.20%,2703,2451,252
Johannes Kepler University Linz,6321,59%,41%,670,45%,55%,755,567,188
Shanghai University,34437,40.80%,59.20%,1130,42.40%,57.60%,3671,3089,582
Tilburg University,10580,39%,61%,2036,46%,54%,506,295,211
Universit?Laval,27237,25%,75%,3489,34%,66%,2279,1716,563
Goldsmiths  University of London,8405,29%,71%,2839,57%,43%,607,423,184
L.N. Gumilyov Eurasian National University (ENU),16871,17.10%,82.90%,611,80.50%,19.50%,2868,2548,320
Ben Gurion University of The Negev,15630,36%,64%,1755,57%,43%,1060,792,268
Tulane University,null,null,null,null,null,null,null,null,null
Illinois Institute of Technology,7283,61%,39%,3835,18%,82%,518,472,46
Universidade Nova de Lisboa,19740,48%,52%,3028,31%,69%,1577,1394,183
University of Iowa,29406,24%,76%,3018,69%,31%,2564,2434,130
Flinders University,18494,27%,73%,5731,56%,44%,833,438,395
University of Naples - Federico II,61928,58%,42%,102,35%,65%,2319,2284,35
Universität Konstanz,11076,48%,52%,1464,30%,70%,1049,824,225
National Central University,11041,44.60%,55.40%,1169,48.90%,51.10%,946,854,92
Stellenbosch University,null,null,null,null,null,null,null,null,null
Dublin City University,12865,14%,86%,2394,70%,30%,1213,932,281
Tianjin University,34542,46.10%,53.90%,1383,64.50%,35.50%,2616,2477,139
Universit?de Liège,20597,52%,48%,4224,35%,65%,1631,1292,339
Boston College,13389,29%,71%,1387,45%,55%,1197,1120,77
Ruhr-Universität Bochum,43015,32%,68%,5898,60%,40%,1127,958,169
Universidad de Zaragoza,29279,12%,88%,1374,71%,29%,3563,3484,79
Universidad Politécnica de Madrid,35428,18%,82%,4819,71%,29%,2461,2422,39
Beijing Institute of Technology,27016,45.90%,54.10%,1472,46.10%,53.90%,2231,2160,71
ITMO University,10075,51.50%,48.50%,1477,47.70%,52.30%,1288,1183,105
Universidad de Belgrano,5300,3.80%,96.20%,null,null,null,815,null,null
Peter the Great Saint-Petersburg Polytechnic University,18420,23.40%,76.60%,4480,74.80%,25.20%,2451,2252,199
Universidade Federal de São Paulo,13091,40.80%,59.20%,null,null,null,2462,null,null
University of Saskatchewan,16561,19%,81%,3188,54%,46%,1368,1008,360
Aston University,12396,18%,82%,2357,50%,50%,663,410,253
Auckland University of Technology (AUT),18035,20%,80%,8347,73%,27%,1149,606,543
Bond University,3156,46%,54%,1223,30%,70%,325,182,143
Chiba University,13805,23.80%,76.20%,612,25%,75%,1890,1798,92
Colorado State University,26497,13%,87%,1695,57%,43%,2547,2195,352
UCSI University,5078,1.70%,98.30%,1223,96.80%,3.20%,560,457,103
Florida State University,36866,18%,82%,1701,26%,74%,2015,1891,124
Hitotsubashi University,6337,30.40%,69.60%,766,29.50%,70.50%,542,483,59
University of Florence,53271,43%,57%,3805,61%,39%,2124,2028,96
Ko?University,5311,19.10%,80.90%,249,30.90%,69.10%,523,436,87
The National University of Science and Technology MISIS,7435,49.20%,50.80%,1778,54.30%,45.70%,959,915,44
Xiamen University,39012,50.60%,49.40%,1427,53.70%,46.30%,3079,2942,137
Dongguk University,17225,12.90%,87.10%,2472,70.30%,29.70%,2476,2284,192
National Technical University of Athens,16935,26%,74%,582,81%,19%,651,null,null
Sogang University,9433,22.10%,77.90%,808,71.20%,28.80%,969,904,65
University of California  Riverside,22465,13%,87%,1436,34%,66%,1458,1238,220
University of Bordeaux,37280,40%,60%,6200,null,null,3430,2756,674
Vilnius University,16078,37.10%,62.90%,688,16.70%,83.30%,2123,2021,102
University of Maryland  Baltimore County,11602,14%,86%,921,43%,57%,765,715,50
Oregon State University,25038,16%,84%,2933,58%,42%,2042,1593,449
Beihang University (former BUAA),29761,47.10%,52.90%,1454,40.90%,59.10%,2488,2346,142
Concordia University,32686,20%,80%,9327,53%,47%,1333,938,395
Julius-Maximilians-Universität Würzburg,26415,53%,47%,1935,41%,59%,1642,1394,248
Swansea University,16304,14%,86%,3489,68%,32%,1387,1025,362
The Catholic University of Korea,9104,19.50%,80.50%,270,84.40%,15.60%,1611,1579,32
University of Science and Technology Beijing,24368,44.60%,55.40%,818,43.20%,56.80%,1605,1563,42
Brandeis University,5376,33%,67%,1426,52%,48%,443,402,41
Pontificia Universidad Javeriana,29708,16.90%,83.10%,null,null,null,1719,null,null
Shandong University,44907,42.30%,57.70%,1350,48.70%,51.30%,3470,3354,116
Universität des Saarlandes,13636,null,null,2896,null,null,1275,990,285
Western Sydney University,32296,15%,85%,5562,63%,37%,1590,616,974
Yokohama City University,4910,15.90%,84.10%,91,35.20%,64.80%,1338,1293,45
Pontificia Universidad Católica del Per?25503,18.80%,81.20%,null,null,null,2072,null,null,
The University of Georgia,36169,22%,78%,2615,43%,57%,2559,1967,592
University of Delhi,22870,69.30%,30.70%,266,12%,88%,1350,1304,46
Singapore Management University,8732,15.70%,84.30%,1958,48%,52%,595,243,352
Christian-Albrechts-University zu Kiel,26155,null,null,1935,null,null,2818,2587,231
University of Stirling,8708,19%,81%,1692,57%,43%,635,468,167
South China University of Technology,36524,33.40%,66.60%,1022,65%,35%,3119,2963,156
Universidad Externado de Colombia,14650,61.20%,38.20%,null,null,null,980,null,null
UNESP,33606,24%,76%,null,null,null,3172,null,null
Universiti Teknologi Petronas (Petronas),5837,18.40%,81.60%,932,43.70%,56.30%,481,319,162
Aberystwyth University,6868,11%,89%,1191,80%,20%,581,446,135
Chang Gung University,7400,26.80%,73.20%,456,48.20%,51.80%,930,906,24
Jilin University,66153,35.30%,64.70%,1579,62.60%,37.40%,6874,6230,644
University of Canberra,10518,16%,84%,1990,69%,31%,418,332,86
Wayne State University,21280,35%,65%,2187,20%,80%,2794,2541,253
Amirkabir University of Technology,11918,48%,52%,89,null,100%,549,537,12
Universidad de Santiago de Chile (USACH),22818,5.50%,94.50%,null,null,null,1355,null,null
Indian Institute of Technology Guwahati (IITG),5591,52.90%,47.10%,43,2.30%,97.70%,425,422,3
Lappeenranta-Lahti University of Technology LUT,3767,51%,49%,559,3%,97%,273,230,43
Auezov South Kazakhstan State University (SKSU),13923,6.50%,93.50%,1049,86.70%,13.30%,2301,2082,219
Universidad de Montevideo (UM),2109,16.90%,83.10%,null,null,null,278,null,null
Aix-Marseille University,67724,38%,62%,8651,40%,60%,4069,3619,450
University of Delaware,21898,16%,84%,2533,46%,54%,1195,1012,183
V. N. Karazin Kharkiv National University,16071,28.40%,71.60%,3846,79.10%,20.90%,1973,1966,7
Czech Technical University in Prague,19520,38.80%,61.20%,3189,65.40%,34.60%,1526,1472,54
Universit?de Montpellier,39638,45%,55%,6394,50%,50%,2114,1976,138
University of Eastern Finland,11637,46%,54%,766,7%,93%,1098,974,124
Bilkent University,10486,12.60%,87.40%,917,78.10%,21.90%,728,559,169
Institut National des Sciences Appliquées de Lyon (INSA),6143,53%,47%,1707,33%,67%,609,524,85
King Khalid University,37871,8.40%,91.60%,4278,85.10%,14.90%,5243,2053,3190
Southeast University,31494,48.20%,51.80%,1492,52.20%,47.80%,3066,2906,160
Umm Al-Qura University,32574,5.30%,94.70%,4202,93.10%,6.90%,3680,1922,1758
Universidad de Alcal?19438,38%,62%,5132,56%,44%,2034,1807,227,
Universidad de La Habana,11412,12.10%,87.90%,null,null,null,1413,null,null
University of Johannesburg,18883,9.90%,90.10%,2430,68.70%,31.30%,1603,1191,412
University of Szeged,17653,43.40%,56.60%,3433,41.50%,58.50%,1979,1830,149
University of Texas Dallas,22824,33%,67%,5518,10%,90%,1081,950,131
Iowa State University,33447,12%,88%,3581,56%,44%,2197,1907,290
Martin-Luther-Universität Halle-Wittenberg,19315,null,null,1607,null,null,1479,null,null
National Taipei University of Technology,7806,42.60%,57.40%,799,60.60%,39.40%,704,618,86
Quaid-i-Azam University,13724,52.20%,47.80%,44,9.10%,90.90%,401,393,8
Taylor's University,5448,5.20%,94.80%,1385,87.70%,12.30%,591,479,112
Universidad de Costa Rica,null,null,null,null,null,null,null,null,null
University of Granada,51016,14%,86%,5736,74%,26%,2826,2750,76
Universit?Cattolica del Sacro Cuore,17782,34%,100%,2220,66%,null,1550,1402,148
"University of Rome ""Tor Vergata""",34862,26%,74%,3236,58%,42%,1577,1511,66
Universit?Paul Sabatier Toulouse III,29033,40%,60%,4049,59%,41%,3029,2897,132
University of Ulsan,null,null,null,null,null,null,1560,1519,41
York University,40392,8%,92%,9213,89%,11%,2357,2029,328
Bangor University,9328,17%,83%,2036,60%,40%,547,435,112
Cairo University,168754,4.80%,95.20%,8097,82.20%,17.80%,12194,12054,140
Inha University,18263,12.90%,87.10%,1034,68.40%,31.60%,2352,2245,107
Justus-Liebig-University Giessen,27083,61%,39%,2255,38%,62%,603,584,19
National Research Saratov State University,10672,21.20%,78.80%,896,84.60%,15.40%,2007,2003,4
Pusan National University,24703,25%,75%,1541,61.20%,38.80%,2312,2180,132
Sabanci University,3718,13.30%,86.70%,341,62.20%,37.80%,334,286,48
Technische Universität Braunschweig,19786,null,null,2719,null,null,2348,null,null
Universität Bremen,18573,28%,72%,2011,53%,47%,1480,1232,248
University of Limerick,12005,17%,83%,1201,55%,45%,924,678,246
Warsaw University of Technology,32838,35.40%,64.60%,1748,53.50%,46.50%,2334,2306,28
Clark University,3083,28%,72%,782,40%,60%,268,245,23
Coventry University,27991,15%,85%,12284,75%,25%,1879,1400,479
East China Normal University,25747,44.90%,55.10%,4252,67.70%,32.30%,2247,1744,503
Far Eastern Federal University,14601,39.10%,60.90%,2337,80.40%,19.60%,1976,1795,181
Kumamoto University,10186,21.10%,78.90%,393,15.30%,84.70%,1420,1356,64
Nagasaki University,9091,17%,83%,384,37%,63%,1352,1287,65
Renmin (People's) University of China,25859,53.70%,46.30%,1138,69.30%,30.70%,2223,2100,123
Universität  Leipzig,27664,null,null,2937,null,null,2475,2347,128
University Paris 2 Panthéon-Assas,13013,42%,58%,1678,33%,67%,1755,null,null
Abo Akademi University,5149,47%,53%,548,9%,91%,493,416,77
Imam Abdulrahman Bin Faisal University (IAU) (formerly UNIVERSITY OF DAMMAM),27289,2.70%,97.30%,917,96.70%,3.30%,3269,1755,1514
Karl-Franzens-Universitaet Graz,20320,26%,74%,2661,62%,38%,1341,1073,268
Management and Science University,8119,7.50%,92.50%,1418,64.40%,35.60%,655,506,149
Southern Federal University,17477,32.70%,67.30%,1592,82.80%,17.20%,2576,2543,33
Taras Shevchenko National University of Kyiv,24528,29.60%,70.40%,718,69.60%,30.40%,2623,2605,18
University of Turin,26090,100%,null,798,null,100%,2100,1998,102
University of Bayreuth,12931,49%,51%,1350,26%,74%,901,757,144
Bar-Ilan University,16901,51%,49%,1050,65%,35%,960,720,240
East China University of Science and Technology,22620,33%,67%,391,57.30%,42.70%,1830,1789,41
Hallym University,8047,6.10%,93.90%,303,68.30%,31.70%,1159,1121,38
Lehigh University,6492,23%,77%,1106,38%,62%,578,551,27
Masaryk University,27681,52.20%,47.80%,6444,41%,59%,1690,1515,175
National Chengchi University,10470,28%,72%,2197,63%,37%,872,795,77
Osaka City University,8318,20.70%,79.30%,340,29.40%,70.60%,1019,983,36
Universidad Pontificia Bolivariana,9936,16.70%,82.10%,null,null,null,1344,null,null
University of Aveiro,13937,null,null,860,null,null,1015,null,null
University of Missouri  Columbia,30188,19%,81%,1867,45%,55%,2475,2258,217
University of Pretoria,43803,19.40%,80.60%,4008,43.20%,56.80%,1599,1251,348
Aristotle University of Thessaloniki,44758,16%,84%,4564,89%,11%,1771,1761,10
Drexel University,20764,32%,68%,3603,66%,34%,1960,1647,313
Abai Kazakh National Pedagogical University,6045,21.90%,78.10%,292,90.40%,9.60%,1097,824,273
Kazakh National Research Technical University after K.I. Satbayev,8514,8.40%,91.60%,164,93.90%,6.10%,718,711,7
The New School,9155,29%,71%,3236,66%,34%,1032,985,47
Okayama University,13243,22.70%,77.30%,536,21.50%,78.50%,1705,1608,97
Universidad Anahuac,14336,11.80%,88.20%,null,null,null,1822,null,null
Universit?du Québec,74406,16%,84%,6905,null,null,1726,1412,314
Saint Joseph University of Beirut (USJ),7805,37.30%,62.70%,506,60.70%,39.30%,941,735,206
University of Cincinnati,29774,24%,76%,2727,37%,63%,2648,2523,125
University of Côte d'Azur,null,null,null,null,null,null,null,null,null
University of Nebraska-Lincoln,28839,15%,85%,3647,69%,31%,1933,1384,549
University of South Carolina,31952,21%,79%,1696,48%,52%,2141,1769,372
Chonbuk National University,20170,16.50%,83.50%,1055,38.10%,61.90%,2197,2110,87
Dalian University of Technology,40728,37.40%,62.60%,1231,52.60%,47.40%,2572,2433,139
Konkuk University,22078,11.10%,88.90%,1969,77.60%,22.40%,2592,2411,181
Murdoch University,10648,14%,86%,1527,68%,32%,636,437,199
University of Guelph,20974,10%,90%,1150,67%,33%,1316,1087,229
University of Massachusetts Boston,12453,18%,82%,1868,74%,26%,890,840,50
University of Oklahoma,27115,23%,77%,1808,59%,41%,3060,2614,446
University of Vermont,11641,14%,86%,1237,89%,11%,1439,1378,61
Howard University,8390,33%,67%,659,58%,42%,1351,1304,47
Kanazawa University,10403,24.50%,75.50%,472,17.80%,82.20%,1202,1146,56
Lebanese American University,8285,7.80%,92.20%,1511,94.40%,5.60%,707,428,279
Syracuse University,20320,27%,73%,4095,47%,53%,1387,1320,67
Universit?degli Studi di Pavia,24319,48%,52%,2073,39%,61%,1243,1198,45
Universitat de Valencia,47523,21%,79%,3629,48%,52%,2963,2926,37
Universit?de Fribourg,10291,null,null,1699,null,null,382,null,null
University of Balamand,4824,25%,75%,424,81.60%,18.40%,781,753,28
Kingston University  London,17114,18%,82%,5891,74%,26%,1038,768,270
Lingnan University  Hong Kong,3006,13.70%,86.30%,455,30.80%,69.20%,237,102,135
Middle East Technical University,27455,30.70%,69.30%,1569,69.50%,30.50%,1167,1110,57
Universidad Nacional de La Plata (UNLP),118688,11.10%,88.90%,null,null,null,10262,null,null
Universitat Ramon Llull,17346,null,null,2879,null,null,1015,615,400
Universiti Utara Malaysia (UUM),12550,24%,76%,3121,45.70%,54.30%,1098,931,167
University of Ljubljana,40110,40.10%,59.90%,2345,46.90%,53.10%,3641,3569,72
University of Milano-Bicocca,32318,null,null,2154,null,null,800,null,null
University of Mons,6533,35%,65%,1005,51%,49%,302,261,41
Vilnius Gediminas Technical University,9423,21.70%,78.30%,1218,64.20%,35.80%,884,839,45
Ajou University,11194,21.30%,78.70%,606,40.10%,59.90%,1050,999,51
American University,12338,40%,60%,1507,49%,51%,1062,1034,28
American University in Dubai,1967,6.60%,93.40%,1664,93.40%,6.60%,144,null,144
Ateneo de Manila University,11398,29.30%,70.70%,493,68.80%,31.20%,940,914,26
Bogor Agricultural University,22252,25.60%,74.40%,532,81.60%,18.40%,1749,1427,322
Central Queensland University (CQUniversity Australia),8149,33%,67%,2810,16%,84%,641,366,275
Chiang Mai University,33638,18.80%,81.20%,908,58.80%,41.20%,2246,2192,54
City University of New York,123893,9%,91%,6462,86%,14%,7782,7381,401
Clarkson University,3998,21%,79%,284,26%,74%,299,258,41
College of William & Mary,8181,24%,76%,686,54%,46%,781,727,54
Gifu University,7342,22.90%,77.10%,317,18.90%,81.10%,913,885,28
Holy Spirit University of Kaslik,6521,20.90%,79.10%,1008,79.50%,20.50%,647,358,289
Instituto Tecnológico de Buenos Aires (ITBA),2903,20.30%,79.70%,null,null,null,328,null,null
Iran University of Science and Technology,14028,71%,29%,99,39%,61%,499,null,null
Keele University,8925,14%,86%,1625,78%,22%,741,592,149
Kyungpook National University,25697,17.60%,82.40%,1027,57.40%,42.60%,2627,2514,113
Lobachevsky University,16444,25.60%,74.40%,1376,78.30%,21.70%,1920,1899,21
Michigan Technological University,6694,17%,83%,951,19%,81%,555,516,39
Niigata University,12538,17.30%,82.70%,274,23.40%,76.60%,1478,1422,56
Palack?University in Olomouc,17445,27.60%,72.40%,1827,75.70%,24.30%,1665,1445,220
Pontifícia Universidade Católica do Rio de Janeiro,13027,20.90%,71.60%,null,null,null,771,null,null
Sichuan University,64648,39.20%,60.80%,2551,75.70%,24.30%,4534,4219,315
Smith College,2828,12%,88%,379,95%,5%,341,333,8
Tallinn University of Technology (TalTech),9776,39.50%,60.50%,1615,50.50%,49.50%,817,703,114
Thammasat University,33023,9.50%,90.50%,381,40.40%,59.60%,2697,2441,256
Tokyo Metropolitan University,9185,24.70%,75.30%,397,20.90%,79.10%,932,889,43
Tokyo University of Agriculture and Technology,5708,33%,67%,332,23.20%,76.80%,415,404,11
Ulster University,18675,13%,87%,2169,69%,31%,1120,626,494
Universidad de Concepción,26451,5.10%,94.90%,null,null,null,1745,null,null
University of Salamanca,27656,22%,78%,3532,24%,76%,1996,1941,55
Universidad de San Andrés - UdeSA,1330,25%,91.10%,null,null,null,177,null,null
Universidad de Sevilla,63062,13%,87%,1428,null,100%,3599,3475,124
Universidad Panamericana (UP),10988,12.20%,88.10%,null,null,null,1158,null,null
Universidad Torcuato Di Tella,1972,27.70%,72.30%,null,null,null,157,null,null
Universität Duisburg-Essen,41966,31%,69%,7568,59%,41%,1676,1473,203
Universität Regensburg,20161,null,null,1562,null,null,1309,1122,187
University of Bradford,8946,16%,84%,2419,74%,26%,561,450,111
University of Debrecen,21879,39.90%,60.10%,4928,42.90%,57.10%,1853,1751,102
University of Jordan,31305,10.40%,89.60%,4543,82%,18%,1909,1677,232
University of Kentucky,27549,23%,77%,1514,41%,59%,1907,1648,259
University of Klagenfurt,3639,32%,68%,786,58%,42%,409,269,140
University of Manitoba,31309,11%,89%,4646,76%,24%,3137,null,null
University of New Mexico,22346,19%,81%,992,38%,62%,1126,1068,58
University of Oregon,22003,15%,85%,2894,86%,14%,1580,1521,59
University of Portsmouth,20819,13%,87%,5144,77%,23%,1327,957,370
University of South Florida,33766,23%,77%,4735,58%,42%,2078,1711,367
University of Tehran,55645,66%,34%,1127,19%,81%,2164,2147,17
Victoria University,14454,15%,85%,3137,63%,37%,607,499,108
Virginia Commonwealth University,26623,21%,79%,1257,61%,39%,2731,2507,224
Worcester Polytechnic Institute,5515,23%,77%,1196,39%,61%,423,371,52
Airlangga University,29020,27.70%,72.30%,434,91%,9%,2277,2169,108
Bogaziçi Üniversitesi,12374,25.20%,74.80%,868,69.80%,30.20%,487,444,43
Brno University of Technology,19205,39.80%,60.20%,3918,65%,35%,1359,1267,92
Carleton University,26024,14%,86%,null,null,null,530,null,null
Charles Darwin University,6505,21%,79%,2348,55%,45%,364,286,78
China Agricultural University,19751,41.80%,58.20%,265,11.70%,88.30%,1636,1586,50
Edith Cowan University,15385,16%,84%,4192,53%,47%,848,656,192
Eötvös Lorànd University,23082,39.10%,60.90%,2095,64.40%,35.60%,1429,1402,27
Indiana University-Purdue University Indianapolis,24316,24%,76%,1594,49%,51%,3183,3170,13
Instituto Politécnico Nacional (IPN),115346,6.10%,93.90%,null,null,null,7325,null,null
Instituto Tecnológico Autónomo de México (ITAM),6085,7.50%,92.50%,null,null,null,407,null,null
International Islamic University Malaysia (IIUM),25711,19.80%,80.20%,5649,51.10%,48.90%,1960,1652,308
Istanbul Technical University,34594,41.20%,58.80%,1533,52.40%,47.60%,2535,2489,46
Jadavpur University,10376,33.80%,66.20%,59,71.20%,28.80%,751,null,null
Jordan University of Science & Technology,22318,6%,94%,4251,97.10%,2.90%,1837,1727,110
Kagoshima University,10539,14.90%,85.10%,300,43%,57%,1363,1322,41
Kaohsiung Medical University,6896,17.20%,82.80%,479,88.30%,11.70%,701,667,34
Kazakh National Agrarian University KazNAU,7433,15.80%,84.20%,276,89.90%,10.10%,830,749,81
Leibniz Universität Hannover,27383,33%,67%,3500,47%,53%,2464,2123,341
Louisiana State University,27814,17%,83%,1587,33%,67%,1454,1357,97
Missouri University of Science and Technology,7874,18%,82%,1047,26%,74%,447,369,78
National and Kapodistrian University of Athens,35425,null,100%,5477,100%,null,2085,2006,79
National Chung Hsing University,13319,36.60%,63.40%,723,63.90%,36.10%,1090,1025,65
"National Technical University  ""Kharkiv Polytechnic Institute""",13218,28.60%,71.40%,703,78.10%,21.90%,1441,1438,3
Osaka Prefecture University,7780,24.70%,75.30%,204,22.10%,77.90%,878,851,27
Philipps-Universität Marburg,25627,null,null,2878,null,null,2157,1914,243
Pontifícia Universidade Católica de São Paulo,7126,15.80%,61.90%,null,null,null,680,null,null
Rutgers - The State University of New Jersey  Newark,10263,26%,74%,1101,37%,63%,847,730,117
Samara National Research University (Samara University),10070,32.20%,67.80%,712,68.70%,31.30%,1149,1095,54
Sejong University,12119,11.70%,88.30%,1209,66.80%,33.20%,941,856,85
Stevens Institute of Technology,6048,48%,52%,2342,5%,95%,310,263,47
Temple University,35278,23%,77%,2997,61%,39%,2760,2662,98
Universidad de Antioquia,41598,9.10%,90.90%,null,null,null,1734,null,null
Universidad del Pais Vasco,40052,6%,94%,835,null,null,3970,null,null
Universidad Iberoamericana IBERO,12518,11.50%,88.50%,null,null,null,623,null,null
Universidade de Santiago de Compostela,22432,18%,82%,1276,31%,69%,1747,1730,17
Universidade Federal de Minas Gerais,49655,29.40%,70.50%,null,null,null,3320,null,null
Universidade Federal do Rio Grande Do Sul,46956,39.90%,60.10%,null,null,null,2689,null,null
University of Genoa,22939,20%,80%,2078,74%,26%,1370,1332,38
University of Hohenheim,9235,38%,62%,1230,31%,69%,404,361,43
Universit?Claude Bernard Lyon 1,37094,41%,59%,3773,46%,54%,2225,2091,134
Universit?de Sherbrooke,14373,21%,79%,1115,37%,63%,1168,904,264
Universiti Teknologi MARA - UiTM,47801,11.90%,88.10%,529,74.70%,25.30%,3313,3254,59
University of Denver,9245,40%,60%,714,60%,40%,932,906,26
University of Haifa,13437,41%,59%,null,null,null,1009,null,null
University of Houston,34896,18%,82%,3454,39%,61%,1586,1517,69
University of Minho,18205,46%,54%,1703,17%,83%,1939,1726,213
University of Pécs,13430,41%,59%,3714,28.60%,71.40%,1528,1504,24
Plymouth University,18414,9%,91%,2575,78%,22%,1286,1032,254
University of Seoul,8619,16.60%,83.40%,347,43.50%,56.50%,814,777,37
University of Sharjah,14362,9.10%,90.90%,8999,93.90%,6.10%,678,29,649
University of Westminster,16570,18%,82%,7493,73%,27%,1019,693,326
University of Windsor,13458,17%,83%,2351,81%,19%,316,null,null
Zayed University,6442,4%,96%,158,68.40%,31.60%,520,33,487
Abu Dhabi University,3757,12.40%,87.60%,2568,95.90%,4.10%,172,4,168
Beijing Jiaotong University,27334,43.30%,56.70%,1731,68.20%,31.80%,2030,1970,60
Beijing University of Technology,22858,37.30%,62.70%,655,62.40%,37.60%,2087,2036,51
Bournemouth University,15841,13%,87%,2873,62%,38%,828,589,239
Central South University,53069,35.50%,64.50%,980,15.90%,84.10%,3599,3352,247
Chonnam National University,22031,17.60%,82.40%,1071,57.80%,42.20%,2196,2102,94
Chungnam National University,21050,19.20%,80.80%,844,58.40%,41.60%,1860,1779,81
Clemson University,21561,16%,84%,1383,9%,91%,1373,1353,20
Dankook University,23808,9.60%,90.40%,753,72.20%,27.80%,2830,2710,120
Georgia State University,26703,22%,78%,1704,31%,69%,1536,1463,73
Hunan University,36184,44.10%,55.90%,988,39.40%,60.60%,2265,2183,82
Kansas State University,21166,15%,85%,1725,55%,45%,1414,1334,80
Lahore University of Management Sciences (LUMS),4365,16.60%,83.40%,null,null,null,299,285,14
London South Bank University,10976,20%,80%,3637,77%,23%,759,579,180
Manipal Academy of Higher Education,25036,22.50%,77.50%,1513,98.30%,1.70%,2584,2565,19
Maynooth University,9327,16%,84%,1000,72%,28%,553,400,153
Memorial University of Newfoundland,15274,19%,81%,2664,50%,50%,1001,851,150
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",26909,53.20%,46.80%,null,null,null,2527,2522,5
Northumbria University at Newcastle,22439,14%,86%,3691,67%,33%,1362,1136,226
Nottingham Trent University,27779,12%,88%,3336,50%,50%,1614,1329,285
Pontificia Universidad Católica de Valparaíso,16699,4.70%,91.50%,null,null,null,843,null,null
Riga Technical University,10753,25.60%,74.40%,1355,53.20%,46.80%,822,759,63
Universitat Rovira i Virgili,null,null,null,null,null,null,null,null,null
