University,Total students,PG students1,UG students1,International students,UG students2,PG students2,Total faculty staff,Domestic staff,International staff
Korea University,25226,22.60%,77.40%,4137,85.20%,14.80%,3700,3402,298
Lomonosov Moscow State University,30904,34.70%,65.30%,5805,81.40%,18.60%,6536,6019,517
Rice University,6752,42%,58%,1854,33%,67%,976,653,323
The University of Western Australia,18431,38%,62%,8624,54%,46%,1345,513,832
Pohang University of Science And Technology (POSTECH),3114,55.10%,44.90%,null,null,null,681,563,118
The University of Auckland,29981,18%,82%,9110,69%,31%,2078,1423,655
University of Science and Technology of China,16152,54.40%,45.60%,685,3.50%,96.50%,2065,1907,158
University of North Carolina  Chapel Hill,26211,31%,69%,1980,46%,54%,4733,4119,614
The Hong Kong Polytechnic University,21870,28.80%,71.20%,5483,35.90%,64.10%,2566,1359,1207
Lund University,27786,31%,69%,6408,45%,55%,3031,2029,1002
Pennsylvania State University,45218,12%,88%,7003,66%,34%,3456,3216,240
University of Leeds,30842,24%,76%,8046,44%,56%,3130,2183,947
Sungkyunkwan University (SKKU),23142,23%,77%,3228,77.80%,22.20%,3462,3131,331
University of Nottingham,29928,22%,78%,8044,57%,43%,3357,2147,1210
University of Southampton,23197,26%,74%,6587,47%,53%,2730,1697,1033
Boston University,26508,38%,62%,7479,57%,43%,3277,2883,394
KTH Royal Institute of Technology,13254,42%,58%,2124,11%,89%,1488,878,610
University of St Andrews,9290,21%,79%,4226,69%,31%,1130,625,505
The Ohio State University,43603,26%,74%,6841,64%,36%,6023,4281,1742
Eindhoven University of Technology,8535,48%,52%,1464,19%,81%,787,461,326
Universidad Nacional Autónoma de México  (UNAM),143714,20.70%,79.30%,null,null,null,14712,null,null
University of California  Davis,35430,18%,82%,7236,77%,23%,2999,2373,626
Yonsei University,24588,25.50%,74.50%,3671,85%,15%,3575,3283,292
The University of Adelaide,21246,24%,76%,8366,60%,40%,1732,1017,715
University of Helsinki,22419,41%,59%,1234,15%,85%,2645,2110,535
Trinity College Dublin  The University of Dublin,14798,22%,78%,4487,64%,36%,1350,761,589
Washington University in St. Louis,13474,48%,52%,2706,20%,80%,2952,2109,843
University of Geneva,16296,48%,52%,6239,39%,61%,1769,725,1044
Purdue University,37670,21%,79%,8431,59%,41%,3247,1913,1334
Technical University of Denmark,9116,49%,51%,2311,14%,86%,2117,1149,968
University of Alberta,31928,21%,79%,8295,62%,38%,3592,2300,1292
University of Groningen,28815,36%,64%,11875,52%,48%,3302,2108,1194
Nagoya University,15777,38.10%,61.90%,1645,18.10%,81.90%,2704,2477,227
Universidade de São Paulo,66203,45.50%,54.50%,null,null,null,5175,null,null
Uppsala University,25199,30%,70%,3760,40%,60%,2490,1914,576
Leiden University,28908,39%,61%,4696,46%,54%,2440,1768,672
University of Oslo,17832,67%,33%,2598,20%,80%,2545,1799,746
Humboldt-Universität zu Berlin,34614,36%,64%,5076,43%,57%,1972,1549,423
Nanjing University,33250,56.80%,43.20%,2963,59.30%,40.70%,2520,1858,662
Utrecht University,32794,39%,61%,3815,43%,57%,3210,2731,479
University of Bern,9336,55%,45%,1618,16%,84%,1181,532,649
KIT  Karlsruhe Institute of Technology,24758,42%,58%,5166,46%,54%,1989,1557,432
Wageningen University & Research,13391,58%,42%,3750,5%,95%,2292,1949,343
Queen Mary University of London,17663,24%,76%,7359,60%,40%,1378,819,559
Pontificia Universidad Católica de Chile (UC),27694,14.40%,85.60%,null,null,null,2305,null,null
Lancaster University,12699,25%,75%,4696,63%,37%,1310,808,502
University of Southern California,30617,47%,53%,9595,26%,74%,3185,2643,542
Freie Universitaet Berlin,33812,38%,62%,6036,45%,55%,1377,1068,309
Ghent University,36453,45%,55%,3730,19%,81%,5321,4146,1175
Hokkaido University,17613,34.60%,65.40%,1459,12.60%,87.40%,2597,2363,234
Kyushu University,18707,37.20%,62.80%,1979,16%,84%,2858,2620,238
Aalto University,11916,55%,45%,1818,8%,92%,1244,863,381
University of California  Santa Barbara (UCSB),23983,11%,89%,2492,72%,28%,1472,1200,272
University of Maryland  College Park,35670,25%,75%,4522,24%,76%,3712,3243,469
Universit?de Montréal,36386,34%,66%,8027,59%,41%,4794,2895,1899
RWTH Aachen University,45377,47%,53%,9651,38%,62%,3175,2692,483
CentraleSupélec,3663,73%,27%,1097,19%,81%,544,403,141
Chalmers University of Technology,9209,45%,55%,1821,18%,82%,1124,663,461
McMaster University,25404,14%,86%,4035,73%,27%,3481,1867,1614
University of Pittsburgh,26534,31%,69%,2899,24%,76%,5087,4462,625
University of Technology Sydney,24453,25%,75%,7944,53%,47%,1302,730,572
Michigan State University,44794,19%,81%,7190,70%,30%,2971,2295,676
Aarhus University,26843,43%,57%,2959,37%,63%,3402,2266,1136
Newcastle University,22466,24%,76%,5674,49%,51%,2564,1652,912
Technische Universität Berlin (TU Berlin),null,null,null,null,null,null,2080,null,null
University of York,16714,22%,78%,3696,43%,57%,1832,1195,637
Politecnico di Milano,35907,40%,60%,5891,25%,75%,1545,1281,264
Hanyang University,23318,8.60%,91.40%,3442,73.60%,26.40%,3116,2751,365
University of Basel,12873,50%,50%,3508,35%,65%,1057,383,674
Indian Institute of Technology Bombay (IITB),9651,56.70%,43.30%,91,12.10%,87.90%,925,904,21
University of Lausanne,12157,42%,58%,2836,46%,54%,1373,730,643
Cardiff University,26020,24%,76%,6625,52%,48%,2810,2105,705
University of Vienna,45984,39%,61%,14584,55%,45%,3505,1998,1507
Emory University,13012,48%,52%,2229,52%,48%,2770,2242,528
University of Minnesota,56758,25%,75%,6002,57%,43%,4930,4719,211
Tecnológico de Monterrey,14209,14.80%,85.20%,null,null,null,2136,null,null
Universiti Putra Malaysia (UPM),19002,42.80%,57.20%,4524,23.40%,76.60%,2274,1819,455
École Normale Supérieure de Lyon,2110,86%,14%,253,5%,95%,380,282,98
Universiti Kebangsaan Malaysia (UKM),16977,32.30%,67.70%,2551,24.50%,75.50%,2432,2028,404
The Hebrew University of Jerusalem,15663,41%,59%,1249,43%,57%,2165,1647,518
University of Bergen,11653,57%,43%,964,21%,79%,1596,1083,513
The University of Exeter,21826,18%,82%,5827,67%,33%,1908,1231,677
Universitat de Barcelona,46214,19%,81%,6304,60%,40%,3923,3789,134
Universiti Sains Malaysia (USM),18141,36.40%,63.60%,2711,33.40%,66.60%,2427,2081,346
Universit?catholique de Louvain (UCL),24585,51%,49%,4491,44%,56%,1261,834,427
University of Florida,45456,30%,70%,4284,15%,85%,5658,5108,550
Eberhard Karls Universität Tübingen,27179,56%,44%,3920,30%,70%,4199,3289,910
Albert-Ludwigs-Universitaet Freiburg,23214,43%,57%,3897,49%,51%,1966,1553,413
University of Rochester,9681,38%,62%,2833,48%,52%,2729,2143,586
University of Bath,15414,18%,82%,4672,65%,35%,1206,712,494
National Tsing Hua University,13542,37%,63%,1279,37.20%,62.80%,1020,885,135
Queen's University Belfast,17955,19%,81%,6326,74%,26%,1719,921,798
University of Waterloo,36626,14%,86%,9861,75%,25%,1741,1254,487
University of Otago,18455,18%,82%,3956,68%,32%,1289,516,773
Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,737,75%,25%,124,null,100%,122,121,1
Alma Mater Studiorum - University of Bologna,65517,43%,57%,5430,52%,48%,2764,2614,150
Case Western Reserve University,10820,53%,47%,2586,37%,63%,1945,1569,376
Technische Universität Dresden,32944,75%,25%,4793,15%,85%,4583,3936,647
University of Liverpool,23785,17%,83%,7806,74%,26%,2514,1719,795
Indian Institute of Technology Delhi (IITD),7793,51.30%,48.70%,null,null,null,545,537,8
Erasmus University Rotterdam,24375,38%,62%,5611,53%,47%,2303,1704,599
Indian Institute of Science,3991,88.90%,11.10%,46,4.30%,95.70%,430,428,2
University College Dublin,20659,24%,76%,4406,51%,49%,1588,968,620
King Abdulaziz University (KAU),33492,15.80%,84.20%,7042,69.20%,30.80%,4162,2282,1880
University of Twente,9840,44%,56%,2422,54%,46%,944,613,331
Universitat Autònoma de Barcelona,31536,24%,76%,3941,32%,68%,2172,1926,246
Texas A&M University,59643,22%,78%,4920,12%,88%,3653,3292,361
Universidad de Chile,40494,19.50%,77.70%,null,null,null,2300,null,null
Stockholm University,27716,24%,76%,2583,50%,50%,2208,1546,662
Vienna University of Technology,17865,36%,64%,5433,60%,40%,724,537,187
Universidad Autónoma de Madrid,28543,27%,73%,3371,52%,48%,2834,2667,167
University of Aberdeen,12235,22%,78%,4225,62%,38%,1221,716,505
Vrije Universiteit Brussel (VUB),10815,52%,48%,2313,19%,81%,1714,1200,514
Waseda University,45762,17.40%,82.60%,6444,52.40%,47.60%,3838,3358,480
University of Göttingen,30402,33%,67%,3736,38%,62%,3678,3037,641
University of Cape Town,20757,27.50%,72.50%,3431,54.50%,45.50%,1691,1258,433
University of Virginia,22232,30%,70%,2036,35%,65%,2608,2501,107
Keio University,33530,14.50%,85.50%,2310,54.80%,45.20%,3872,3614,258
King Fahd University of Petroleum & Minerals,6179,12.30%,87.70%,891,49.20%,50.80%,1014,278,736
Vanderbilt University,12006,43%,57%,1735,47%,53%,4384,3897,487
Sapienza University of Rome,73992,45%,55%,4547,47%,53%,3372,3279,93
Scuola Normale Superiore di Pisa,558,69%,31%,62,null,100%,186,168,18
University of Reading,14521,24%,76%,4403,57%,43%,1299,827,472
University of Colorado Boulder,31372,12%,88%,2732,74%,26%,3829,3256,573
Al-Farabi Kazakh National University,16765,19.30%,80.70%,1885,88.20%,11.80%,3358,2895,463
Dartmouth College,6337,32%,68%,937,40%,60%,834,812,22
The University of Newcastle  Australia (UON),12367,9%,91%,3263,46%,54%,1057,548,509
University of Notre Dame,12221,31%,69%,1268,39%,61%,1521,1308,213
The University of Western Ontario,29772,20%,80%,5406,67%,33%,1482,782,700
